,내용
0,다음달 독일 뮌휀에서 열리는 ‘ 모빌리티 2021’에 마련될 현대모비스 전시관조감도. 현대모비스 제공 현대모비스는 다음달 7일부터 12일까지 독일 뮌헨에서 열리는 ‘ 모빌리티 2021’에 참가해 전동화와 자율주행 인포테인먼트 등 총 30여개 미래 기술을 선보인다고 23일 밝혔다. 세계 4대 모터쇼 중 하나로 프랑크푸르트 모터쇼로도 잘 알려진 모빌리티는 유럽 최대 자동차 전시회다. 홀수 해마다 프랑크푸르트에서 열리다 올해부터는 뮌헨으로 옮겨 개최한다. 현대모비스가 모빌리티에 참가하기는 처음이다. 올해 행사에는 국내 자동차부품 업체로는 현대모비스가 유일하게 참가하는 것으로 알려졌다. 친환경 경영이 최대 화두로 떠오른 유럽에서 공격적인 마케팅으로 시장을 공략하겠는 게 현대모비스의 전략이다. 회사 관계자는 “유럽 시장은 저탄소 에너지 활용 방침을 글로벌 부품사에도 요구하고 있다”며 “앞으로 중장기 친환경 모빌리티 전략이 없으면 입찰 과정에서부터 배제되는 등 수주 기회조차 줄어들 수 있다”고 말했다. 이에 현대모비스는 이번 행사에서 전동화·자율주행 등 미래기술 경쟁력과 함께 100기업이 사용하는 전력량의 100를 재생에너지로 전환 달성 전략을 강조할 방침이다. 현대모비스는 358㎡약 108평 규모의 전시관을 마련했다. 일반 관람객을 대상으로 현대모비스의 전동화와 자율주행 신기술을 체험할 수 있는 ‘퍼블릭 존’과 고객사의 수주 상담 공간인 ‘프라이빗 존’으로 구분해 운영한다. 퍼블릭 존은 아이오닉5에 적용된 현대모비스의 전동화부품을 3와 대형 화면으로 관람할 수 있게 만들었다. 지난 3월 공개한 전기차 기반 완전자율주행 콘셉트카인 엠비전도 선보인다. 프라이빗 존에서는 자율주행 인포테인먼트 전동화 섀시 램프 안전부품 등 6개 제품군 총 30여개에 이르는 미래차 핵심부품들이 전시된다. 파노라마 선루프 에어백 증강현실 헤드업 디스플레이 배터리 시스템 고성능 레이더 등 현대모비스의 주요 기술이 선보일 예정이다. 현대모비스는 지난해 체코와 슬로박 공장에 대규모 투자를 단행해 전기차 핵심부품 라인을 신설하는 등 전동화 역량을 강화하고 있다. 현대모비스 관계자는 “전용 플랫폼 기반의 신규 모델이 유럽에서 판매되기 시작하면 성장세에 더욱 속도가 붙을 것”이라고 말했다.
1,현대차 아이오닉 5. 현대차 제공 올해 상반기 차량용 반도체 수급난으로 세계 자동차 판매량이 지난해보다 감소했지만 친환경차 판매량은 크게 늘어난 것으로 나타났다. 23일 한국자동차연구원의 산업동향 보고서를 보면 올해 상반기 전 세계에서 판매된 완성차는 4142만4000대로 지난해 하반기4399만4000대보다 약 6 줄었다. 지난해 상반기 코로나19 사태로 부진했다가 하반기에 판매량이 늘었지만 올해 들어서는 다시 감소했다. 다만 친환경차 판매량은 올해 상반기 494만8000대로 지난해 상반기 대비 약 125 하반기 대비 23 증가했다. 하이브리드차는 지난해 상반기 대비 92 배터리 전기차는 171 플러그인하이브리드 차는 160 판매량이 상승했다. 한국자동차연구원 제공 국가별로 보면 미국과 일본을 제외한 지역에서 감소세를 보였다. 미국은 지속적인 소비 심리 개선으로 내수 판매량이 증가했고 일본은 코로나19에 따른 기저 효과와 하이브리드차 증가로 판매량이 늘었다. 상반기 일본에서 판매된 하이브리드차는 75만3000대로 지난해 동기 대비 72 증가했다. 한국은 지난해 개별소비세 인하 다양한 신차 출시 등으로 판매량이 일시적으로 증가했다가 올해부터 반도체 공급 부족으로 신차 생산이 지연되면서 판매량이 다소 감소했다. 상반기 업체별 차량 판매량은 도요타가 가장 많았고 폭스바겐 르노닛산 스텔란티스 현대차 등이 뒤를 이었다. 미국·유럽 완성차 기업들의 부진 속에서 현대차와 도요타의 판매량은 지속해서 증가했고 현대차는 을 제치고 5위에 올랐다. 현대차는 내수와 중국 시장에서 다소 부진했지만 생산 중단을 최소화하고 중국 외 지역 수출이 호조를 보인 덕에 지난해 하반기와 비슷한 338만2000대를 판매했다. 도요타는 지난해 하반기 478만2000대에서 올해 상반기 502만1000대로 판매량이 증가했다. 도요타는 주력 시장인 미국과 중국 시장에서 수요가 증가한 데다 주요 부품의 재고량을 늘려 꾸준한 판매 증가세를 보였다. 하반기 세계 자동차 시장은 전기차 전용 모델을 포함해 다양한 신차가 출시되면서 대기 수요가 예년 수준을 회복하겠으나 반도체 공급 충격으로 차량 인도 기간이 길어져 판매 실적은 부진할 것으로 전망됐다. 연구원은 “완성차 업체들은 중장기 판매량 증대를 위해 전기차 등 친환경에 방점을 둔 브랜드 마케팅에 집중할 것”이라고 내다봤다.
2,화학 대산공장 전경. 화학 제공. 화학이 친환경 소재 사업을 육성하기 위해 대규모 국내 투자에 나선다. 화학은 2028년까지 총 2조6000억원을 투자해 충남 대산공장에 생분해성 및 태양광 필름용 고부가 합성수지 등 총 10개의 공장을 신설할 계획이라고 19일 밝혔다. 는 농업용·일회용 필름 등에 사용되는 제품으로 산소 열 빛 효소 반응으로 자연에서 빠르게 분해되는 특징이 있다. 연내 착공되는 공장은 연산 5만 공장은 연산 10만 규모로 건설될 예정이다. 두 공장 모두 2024년 상업생산 시작을 목표로 한다. 화학은 두 공장 설립으로 인한 매출 증대 효과를 연간 약 4700억원 이상으로 보고 있다. 썩는 플라스틱 수요 증가와 신재생에너지 보급 확대로 와 시장은 2025년까지 연평균 30 수준의 고성장을 이어갈 것으로 전망된다. 화학은 2028년까지 충남 대산사업장을 바이오 기반 원료 생산 친환경 소재 생산 폐플라스틱 재활용 온실가스 저감 등 환경·사회·지배구조기반 사업의 메카로 육성할 계획이다. 화학은 이날 충남도 및 서산시와 투자협약도 체결했다. 기존의 대산공장 부지 외 약 79만㎡24만평의 신규 부지를 추가로 확보했다. 이번 투자로 약 400여명의 직접 고용 창출 효과도 기대하고 있다. 신학철 화학 부회장은 “이번 투자협약은 지속가능 성장 전략의 일환이자 친환경 소재 비즈니스의 본격화를 알리는 신호탄”이라며 “충남도 및 서산시와 협력 수준을 한 단계 더 높여 지속가능한 미래를 향해 함께 성장해 나갈 것”이라고 말했다.
3,조 바이든 미국 대통령이 지난 5일현지시간 미국 워싱턴 백악관에서 열린 무공해차 홍보 행사에서 지프 랭글러 루비콘 시승 후 차에서 내리고 있다. 바이든 대통령은 이날 2030년 판매되는 신차의 절반을 전기차 등 무공해차가 차지해야 한다는 목표를 담은 행정명령에 서명했다. 연합뉴스 미국의 친환경차 산업 육성 정책이 윤곽을 드러내며 미래차 산업의 새로운 경제 블록이 탄생한만큼 한국도 자동차 기업의 진입 전략을 모색해야 한다는 분석이 나왔다. 한국자동차연구원은 16일 발표한 산업동향 보고서를 통해 “미국이 친환경차 비율 50 달성을 골자로 한 정책 청사진을 공개하며 유럽·중국을 포함한 세계 3대 자동차 시장의 친환경차 정책 향방이 결정됐다”고 밝혔다. 조 바이든 미국 대통령은 지난 5일 2030년까지 미국의 승용차·소형트럭 신차 중 전기차 플러그인하이브리드차 수소전기차를 포함한 무공해차의 비중을 50로 높이는 내용의 행정명령에 서명했다. 보고서는 미국이 자국 내 완전한 산업 기반을 구축해 친환경차 패권을 쥐겠다는 의지가 뚜렷하다고 분석했다. 실제로 바이든 대통령은 행정명령 서명 행사에 미국에 뿌리를 둔 완성차 기업 3곳 포드 스텔란티스과 전미자동차노조를 초청해 자국 기업·노조와의 동반자 관계에 기반한 산업 육성 의지를 천명했다. 또 친환경차 핵심인 배터리 생산에서 중국이 세계를 주도하는 현실을 인정하고 산학연의 역량을 결집해 배터리와 전기차 기술의 우위를 탈환하겠다고 밝혔다. 이와 함께 미국 정부의 공공 차량 60만대를 자국산 친환경차로 채우는 계획과 미국에서 생산되거나 미국 자동차 노조에 의해 생산되는 전기차를 구입하는 소비자를 위한 세액 공제 확대안을 소개하기도 했다. 보고서는 “무공해차 50 목표는 미국 자동차 시장의 특성을 고려하면 도전적인 수치고 기업의 의지와 내연기관차에 대한 강력한 규제가 뒷받침되어야만 달성 가능할 것으로 판단된다”고 설명했다. 앞서 시장조사업체 마킷은 지난 5월 “미국의 2030년 신차 중 전기차순수전기차플러그인 하이브리드 비중이 2530에 그치고 2035년에야 4550 달성이 가능할 것”이라고 전망한 바 있다. 이에 비춰 보면 ‘2030년까지 신차 중 무공해차 비중 50 달성’을 위해서는 미국 내 판매 비중이 높은 중대형 스포츠유틸리티차량과 픽업트럭 등에서 대대적인 전동화가 필요하다. 또 전임 트럼프 행정부에서 완화된 자동차 연비 규제의 영향을 만회할 급진적인 규제 강화와 캘리포니아주 등에서 추진하는 내연기관차 판매 중단 계획도 보다 확산돼야 한다고 보고서는 설명했다. 보고서는 미국 친환경차 정책의 구체적 방안이 공개되며 세계 3대 자동차 시장의 정책 향방이 사실상 결정됐다는 점에 의의를 뒀다. 자국 친환경차 산업 기반 육성에 방점을 둔 미국의 정책 방향은 기후변화 대응을 명분으로 비관세장벽을 강화하는 유럽연합이나 대외 갈등 속에 내수 활성화에 몰두하는 중국의 정책과 함께 친환경차 부문에서의 신 경제 블록의 탄생을 시사한다는 것이다. 이호중 책임연구원은 “이에 따라 한국 자동차 산업의 ‘국내·역외 생산 후 수출’ 중심 패러다임은 변화가 불가피해졌으며 정책 당국은 자동차 부문의 새로운 경제 블록에 대한 우리 기업의 진입 전략을 모색해야 한다”고 말했다.
4,부산시가 중·소형선박 엔진을 액화석유가스 엔진으로 전환하기 위한 실증작업에 나선다. 부산시는 9월부터 가스 엔진 선박 시장을 선도하고 기술 주도권을 확보하기 위해 ‘부산 해양모빌리티 규제자유특구’ 실증사업을 추진한다고 12일 밝혔다. 이번 실증사업은 친환경성과 경제성이 입증된 가스를 중·소형 선박에 적용해 육상 및 해상 실증으로 실적을 쌓은 뒤 이를 법규와 기준안 규칙 등에 반영하기 위한 것이다. 가스 엔진은 가솔린 엔진보다 연료비가 저렴하며 유해물질 발생량이 적고 엔진 수명이 길다는 게 장점이 있다. 중형선박용 가스엔진. 부산시 제공 중형선박의 경우 가스 엔진 복합동력 전기추진선의 건조·운항 실증이 소형선박은 가스 선외기 전환·운항 실증이 이뤄진다. 또 육상에서 선박으로의 가스 공급 등이 실증 대상이다. 그동안 가스를 사용하는 선박에 대한 건조검사 기준 및 연료공급 기준이 없어 선박 건조 및 운항이 불가능했다. 그러나 규제자유특구 지정으로 규제가 완화돼 한국해양대학교조선해양응용실증기술센터 내 위치한 육상실험실에서 국내 최초로 구성품 성능평가 및 안전성 확인 실증이 이뤄지게 됐다. 소형선박용 가스 실외기. 부산시 제공 부산시는 2022년 4월까지 육상실증을 마무리하고 해상실증에 나설 예정이다. 관련 법령 및 기준안이 마련되면 가스 선박 상용화가 본격 가능할 것으로 예상하고 있다. 부산시 관계자는 “이번 실증사업을 통해 친환경 선박 시장에 선도적으로 대응하고 부산의 신성장 동력을 마련할 것으로 기대한다”며 “가스 선박 실증사업 등을 함께 수소연료선박 연구개발 플랫폼 구축사업 등을 추진해 ‘저탄소 녹색도시 부산’을 만들겠다”고 말했다.
5,현대오일뱅크는 2030년까지 친환경미래사업의 영업이익 비중을 70까지 확대하기로 했다. 현대오일뱅크 제공 지난해 코로나19 팬데믹세계적 대유행으로 ‘적자 쇼크’에 빠졌던 국내 정유업계가 올해 상반기 반등에 성공하면서 배터리 수소 등 신사업 발굴을 통한 포트폴리오 재편에 나서고 있다. 탄소중립을 향한 ‘탈석유’ 시대가 다가오는 만큼 미래 먹거리 선점을 위한 체질 전환에 속도를 내는 모습이다. 15일 정유업계에 따르면 국내 정유 ‘빅4’로 불리는 이노베이션 칼텍스 에쓰오일 현대오일뱅크는 지난 상반기에 총 3조8995억원의 영업이익을 기록했다. 에쓰오일이 1조2002억원의 영업이익을 기록했고 칼텍스와 이노베이션 현대오일뱅크가 각각 1조118억원 1조90억원 6785억원의 영업 실적을 거뒀다. 지난해 상반기 5조원이 넘는 적자로 최악의 한 해를 보냈던 정유업계는 올해 2분기 연속 실적 회복세를 보이며 흑자 전환했다. 코로나19 사태로 인한 수요 급감으로 직격탄을 맞은 후 사업 다각화를 진행했고 국제유가가 점차적으로 오르며 실적개선으로 이어졌다. 특히 본업인 정유보다 윤활유 석유화학 등 비정유 부문이 실적을 끌어올렸다. 한숨을 돌린 정유업체들은 배터리 소재 개발 친환경 사업 진출 신사업 투자 등 다양한 미래전략을 제시하며 변신을 꾀하고 있다. 향후 탄소중립에 따른 수요 감소와 국제유가 하락 등에 대비하겠다는 의지로 풀이된다. 국내 최대 정유사인 이노베이션은 지난달 사업의 중심 축을 ‘탄소’에서 ‘그린친환경’으로 전환한다고 공식 선언했다. 40여년간 본업이었던 정유 사업을 줄이고 친환경 사업 중심으로 회사의 정체성을 바꾸겠다는 것이다. 이노베이션은 일찌감치 차세대 먹거리로 배터리사업을 낙점하고 집중 투자를 하고 있다. 루브리컨츠 종합화학 등 비친환경 부문의 자산까지 매각하면서 배터리와 폐플라스틱 재활용 등 친환경 사업에 공을 들이고 있다. 김준 이노베이션 총괄사장이 지난달 1일 서울 여의도 콘래드 호텔에서 열린 ‘이노베이션 스토리 데이’에서 탄소 사업에서 그린 중심 사업으로 회사의 정체성을 완전히 바꾸겠다는 ‘파이낸셜 스토리’를 발표하고 있다. 이노베이션 제공 현대오일뱅크는 현재 85인 정유 사업 매출 비중을 2030년까지 40대로 줄이고 친환경 사업의 영업이익 비중을 70까지 확대하는 내용의 ‘비전2030’을 내놨다. 최근엔 석유제품 탱크 임대 사업인 현대오일터미널 지분의 90를 사모펀드에 매각하며 친환경 사업 투자를 위한 실탄을 마련했다. 현대오일뱅크는 2025년까지 블루수소생산 과정 중 탄소 배출을 최소화한 청정 수소 10만을 생산한다는 계획이다. 이를 위해 세계 최대 수소 생산업체인 미국 에어프로덕츠와 사업 협력을 맺는 등 국내외 에너지·발전 기업들과의 공조도 추진 중이다. 에쓰오일은 지난 3월 연료전지 기반의 청정에너지 솔루션을 제공하는 의 지분 20를 취득하며 수소 사업 진입을 위한 발판을 마련했다. 는 2027년까지 최대 1000억원 규모의 투자를 진행해 100㎿ 이상 규모의 생산설비를 구축하고 그린수소까지 사업영역을 확장한다는 방침이다. 칼텍스는 친환경 생산시설 강화와 함께 미래 모빌리티 사업에도 눈을 돌리고 있다. 칼텍스는 지난해부터 여수공장 생산시설 가동용 연료인 저유황중유를 전량 액화천연가스로 변경했다. 는 동일한 열량에도 보다 이산화탄소 배출량이 적다. 칼텍스는 ‘카카오’ 운영사인 카카오모빌리티에 300억원을 투자하기로 결정하는 등 자사가 보유한 주유소 인프라와 미래 모빌리티를 연계하는 사업도 구상 중이다. 정유업체들의 이 같은 체질 개선은 화석연료 중심의 사업으로는 미래를 담보할 수 없다는 위기의식이 반영된 결과로 해석된다. 업계 관계자는 “국내외 탄소중립 기조가 확대되고 있는 만큼 지속 가능성을 확보하지 않으면 생존할 수 없다고 판단한 것”이라고 말했다.
6,지난해 9월부터 현대중공업 등 조선사 도장작업 노동자들에게 잇달아 발생한 피부질환의 원인이 회사가 새로 도입한 ‘친환경 도료’였던 것으로 고용노동부 조사 결과 확인됐다. 현대중공업 등 조선사들은 새 도료를 개발해 사용하면서 화학물질의 피부 과민성 문제를 소홀히 하고 노동자들에게 유해성 교육도 제대로 하지 않은 것으로 나타났다. 현대중공업 등 현대 계열 조선 3사에서 확인된 피부 질환자만 53명에 달한다. 울산 현대중공업 전경. 경향신문 자료사진 고용노동부는 1일 이 같은 내용의 조선사 도장작업 노동자 집단 피부질환 조사 결과를 발표했다. 노동부 조사는 지난해 9월 현대중공업 노동조합이 회사에서 새로 도입한 ‘무용제 도료’를 쓴 뒤 선박 도장 작업자들이 잇따라 피부질환을 겪었다며 도료 사용을 중지하고 위험성을 확인해 달라고 요청해 시작됐다. 지난해 4월 도입한 해당 도료를 쓴 노동자들은 피부에 붉은 반점과 물집이 생기는 피부발진 현상을 겪은 것으로 알려졌다. 관련기사 ▶친환경페인트라더니…현대중 노동자 ‘집단 피부병’2021년 1월8일 이에 노동부는 올해 2∼4월 현대 계열 조선사 3곳인 현대중공업 현대미포조선 현대삼호중공업을 포함해 삼성중공업 한진중공업 세진중공업 대선조선과 도료 제조사인 울산공장 츄고쿠삼화페인트 까지 모두 10개 기업의 노동자 1081명을 대상으로 임시 건강검진을 진행했다. 이 중 55명이 피부질환을 앓고 있었고 이중 53명은 현대 계열 조선사 노동자였다. 현대중공업이 35명 현대미포조선이 9명 현대삼호중공업이 9명이었다. 나머지 2명 유증상자는 츄고쿠삼화페인트에서 근무하는 노동자였다. 노동자들이 겪은 피부질환의 원인에 대해 노동부는 “무용제 도료에 포함된 과민성 물질이 원인일 가능성이 매우 높다”고 밝혔다. 무용제 도료는 대기 중에 오존을 발생시키는 휘발성 유기화합물 함량이 5 이내인 것으로 환경친화적 도료로 분류된다. 정부는 환경친화적 도료 사용을 확대하고자 무용제 도료 사용으로 휘발성 유기화합물 배출을 줄이면 이를 실적으로 인정해주고 있다. 노동부에 따르면 조선사와 도료 제조사가 무용제 도료를 개발하면서 페인트에 포함된 휘발성 유기화합물 함량은 낮아졌지만 대신 새로운 과민성 물질들이 포함됐다. 노동부는 특히 친환경 도료의 주 성분인 에폭시 수지가 기존 도료에 사용된 것보다 분자량이 적어 피부 과민성이 커진 것이 피부질환을 일으켰을 것으로 판단했다. 통상 분자량이 적을수록 피부 과민성이 높아진다. 조선사들은 산업안전보건법에 따라 원재료 등의 유해·위험 요인을 찾아내 질환 등의 예방 조치를 하게 돼 있지만 이 역시 지키지 않은 것으로 확인됐다. 노동부는 “도료 제조사와 조선사는 무용제 도료를 개발하면서 새로 함유된 화학물질의 피부 과민성 문제를 간과했고 사용 과정에서 노동자에게 피부 과민성에 대한 유해성 교육이나 적정 보호구의 지급도 적시에 이뤄지지 않은 것으로 나타났다”고 밝혔다. 노동부는 현대중공업 현대미포조선 현대삼호중공업에 대해 화학물질 도입 시 피부 과민성 평가를 해야 한다는 내용 등이 담긴 안전보건조치 명령을 내렸다. 노조는 노동부 조치가 충분하지 않다는 입장이다. 박정환 금속노조 현대중공업지부 노동안전보건실장은 “문제가 된 도료의 조선소 현장 사용을 원천 금지하고 회사가 피해 노동자에 대한 산재 처리를 신속히 하도록 지도하지 않은 것은 아쉽다”고 말했다. 현대중공업은 문제가 된 제품은 전량 폐기했다고 했다. 현대중공업 관계자는 “당시 피부발진의 원인으로 추정되는 극하절기용 경화제를 사용 중단하고 전량 폐기 처분했으며 이후 개선 제품을 공급해 사용하고 있다”고 밝혔다.
7,롯데케미칼 소재 제품 포장백. 롯데케미칼 제공. 과거에는 환경오염의 주범으로 꼽혔던 화학업계가 최근 적극적으로 친환경 행보에 나서고 있다. 플라스틱 등을 생산했던 업체들이 이제는 환경·사회·지배구조 경영에 발맞춰 ‘폐플라스틱’ 재활용 방안을 내놓고 있다. 환경부에 따르면 지난해 한국의 폐플라스틱 배출량은 853으로 전년 대비 14.6 증가했고 폐비닐 배출량도 전년 대비 11 늘었다 롯데케미칼은 폐플라스틱 재활용 소재를 활용한 친환경 포장재를 자체 개발해 자사 제품 포장에 적용했다고 9일 밝혔다. 롯데케미칼은 고객사로부터 사용 후 버려지는 폴리에틸렌 소재 폐포장재를 회수하고 재활용 공정을 거쳐 ‘재생 폴리에틸렌’을 제조했다. 재생 폴리에틸렌은 약 30％ 비중으로 친환경 포장재 제조에 투입된다. 롯데케미칼은 사용 후 폐기되는 폴리에틸렌 포장재를 재활용하기 위해 올해 초부터 연구개발을 추진해왔고 고객사 협조를 받아 친환경 포장재 개발에 성공했다고 설명했다. 롯데케미칼은 현재 여수공장에서 생산되는 월 3000 상당의 내수용 고밀도 폴리에틸렌 제품에서 친환경 포장재를 시범 적용 중이며 연말까지 적용 제품을 늘려 월 1만5000 물량에 적용할 계획이다. 화학은 지난달 기자간담회를 열어 친환경 소재 개발 사업과 폐플라스틱 재활용 사업 등에 3조원을 투자한다고 밝히고 친환경 프리미엄 통합 브랜드 ‘렛제로’를 출범시켰다. 버려진 플라스틱을 재활용한 제품이나 식물성 원료로 만든 친환경 제품에 렛제로 마크를 단다. 또 스타트업 ‘이너보틀’과 협업을 맺고 올해 하반기부터 화장품 용기 플라스틱을 100 재활용하는 구조를 구축한다. 2025년부터는 독자 개발한 생분해성 플라스틱도 양산할 예정이다. 이노베이션도 자사 ‘그린 성장 전략’에 따라 플라스틱 재활용 방안을 내놓고 있다. 이노베이션의 자회사 종합화학은 지난달 깨끗한나라 팩과 업무협약을 체결하고 재활용 플라스틱을 10 이상 적용한 ‘친환경 포장재 개발’에 나섰다. 지난 5일에는 케미칼이 제주삼다수 페트병을 전량 회수하고 이를 화장품 용기나 섬유 가전에 사용하는 원료로 제작하겠다고 밝혔다. 도 폐플라스틱 열분해유 사업화를 위해 일본 벤처회사와 지난 6월 업무협약을 체결하고 생분해 플라스틱 소재 사업의 확대 방안을 구체화하고 있다. 미국 환경 컨설팅 기업 에 따르면 페트 소재의 플라스틱을 재활용하면 온실가스 배출량을 67까지 줄일 수 있다. 화학업계의 재활용 시도를 두고 긍정적 평가가 나오는 이유다. 그러나 아직 갈길이 멀다. 환경단체 그린피스의 보고서를 보면 한국에서 배출되는 폐플라스틱의 재활용 비율은 23에 불과하다. 화학업계의 플라스틱·비닐 재활용을 ‘친환경’으로는 볼 수 없다는 지적도 나온다. 근본적 해결책아 아니기 때문이다. 허승은 녹색연합 녹색사회팀장은 “석유화학 업체의 친환경 정책은 사실상 탄소중립 사회에서 업계를 유지하기 위한 방안에 불과하다”며 “폐기물 문제를 해결하려면 관련 제품의 발생량생산량 부터 줄이는 게 우선돼야 한다”고 말했다.
8,11번가 제공 11번가가 고객들의 착한 소비와 기부를 응원하는 ‘행복크레딧 기획전’을 확대해 경영을 이어간다. 3일 11번가에 따르면 이달부터 ‘친환경 택배박스’로 배송되는 상품 구입 시 구매 금액의 1가 자동 기부돼 홀몸 어르신 돌봄 장애청소년 교육 일회용 플라스틱 감축 등 사회문제 해결을 위해 쓰인다. ‘행복크레딧’은 텔레콤의 포인트 기부 프로그램으로 11번가의 ‘행복크레딧’ 기획전을 통해 사회적기업 중소상공인 상품을 구매하면 참여할 수 있다. 이달부터는 11번가 내 ‘친환경 택배박스’ 발송 상품이 추가돼 더 많은 고객들이 착한 소비를 통한 기부에 적극 동참할 수 있게 됐다. 11번가는 지난해 11월부터 현재까지 ‘행복크레딧’ 기획전을 통해 2만여 곳의 사회적기업 중소상공인 셀러의 12만개 상품들을 선보였고 2억6000만원 이상의‘행복크레딧’이 적립됐다. 11번가는 올해 들어 경영의 일환으로 100 재활용이 가능한 친환경 택배박스 종이 완충재 종이 테이프를 도입해 환경보호에 적극 나서고 있다. 11번가 백창돈 대외협력담당은 “고객들과 함께 사회적 가치를 실현할 수 있는 여러 방안들을 계속해서 고민해 선보일 것”이라고 말했다.
9,롯데푸드는 국내 최초 저온살균 파스퇴르 우유 패키지를 리뉴얼했다고 4일 밝혔다. 롯데푸드에 따르면 새롭게 선보인 패키지는 라벨에 절취선을 추가해 분리배출 편의성을 강화했다. 분리한 라벨은 비닐로 우유병은 플라스틱으로 분리수거하면 된다. 또 디자인 면적을 확대해 제품 정보 확인이 한층 용이해졌다. 병 상단에 63도 저온살균 엠블럼을 추가해 파스퇴르 우유의 핵심 특징을 강조했다. 병목 위쪽이 넓어지는 자형 패키지는 중세 유럽 귀족의 빳빳하게 세운 깃에서 모티프를 따왔다. 넓고 둥근 우유병을 잡고 따르기 어려웠던 점을 고려해 용기 상단을 한 손에 잡히게 개선했다. 원터치 캡으로 뚜껑 편의성도 높였다. 기존에는 뚜껑을 열고 이너실링을 제거해야 돼 불편함이 있었다. 뚜껑의 밀폐력도 높아져 제품 안전성도 강화했다. 롯데푸드는 패키지 리뉴얼과 함께 제품 라인도 후레쉬 저지방 유산균으로 변경했다. 저지방 우유와 차별점이 약했던 무지방 우유는 단종하고 롯데중양연구소와 공동개발한 식물성 유산균 ‘9’을 넣은 유산균 우유를 추가했다. 파스퇴르는 1987년 국내 최초로 저온살균우유를 출시하며 유업계와 소비자들에게 신선한 충격을 줬다. 저온 살균우유는 생우유에 들어있는 효소나 유익균 등은 그대로 살리고 결핵균과 같은 유해균만 죽이는 장점이 있다. 또 초고온 살균에 비해 칼슘과 단백질 등 영양소 열변성 및 비타민 손실을 최소화한다. 하지만 63도라는 살균 온도를 30분이라는 긴 시간 동안 유지해야 하는 만큼 초고온 살균보다 더 많은 비용과 노력이 들어갈 수 밖에 없다. 원유 품질이 나쁘거나 세균 수가 많으면 사용할 수 없다. 파스퇴르는 1987년 당시부터 지금까지 현재 법적 기준 1급 우유인 ㎖당 세균 수 3만마리 이하보다 3.7배 깐깐한 ㎖당 세균 수 8000마리 이하의 엄격한 기준으로 원유를 관리하고 있다. 롯데푸드 관계자는 “파스퇴르 새 디자인에 세련미와 편의성 친환경을 담고자 했다”면서 “디자인은 바뀌어도 파스퇴르 저온살균우유의 건강함과 품질에 대한 깐깐함은 변함없이 그대로 살아있다”고 말했다.
